epoch,loss
0,2.77896
1,2.41565
2,2.11268
3,1.86292
4,1.64711
5,1.46325
6,1.30776
7,1.16473
8,1.03976
9,0.931153
10,0.834283
11,0.749074
12,0.67173
13,0.602618
14,0.54128
15,0.487529
16,0.436675
17,0.39261
18,0.353011
19,0.317913
20,0.285796
21,0.25692
22,0.231694
23,0.208604
24,0.188232
25,0.169464
26,0.152864
27,0.13794
28,0.124605
29,0.112586
30,0.101877
31,0.0924984
32,0.083606
33,0.0758142
34,0.0688079
35,0.0626063
36,0.057016
37,0.0519545
38,0.0474277
39,0.0434108
40,0.0397897
41,0.0364738
42,0.0335471
43,0.0309325
44,0.028565
45,0.0264809
46,0.0245488
47,0.0229063
48,0.0213311
49,0.019954
50,0.0187259
51,0.017632
52,0.0166406
53,0.0157374
54,0.0149278
55,0.0142303
56,0.013594
57,0.0130094
58,0.012478
59,0.0120318
60,0.0115993
61,0.0112466
62,0.0109005
63,0.0105976
64,0.0103205
65,0.01009
66,0.00988065
67,0.00968379
68,0.00950673
69,0.00935787
70,0.00921567
71,0.00907741
72,0.0089544
73,0.00886483
74,0.0087716
75,0.00868768
76,0.00862316
77,0.00854547
78,0.00848939
79,0.00844811
80,0.00839095
81,0.00833897
82,0.00830642
83,0.00828873
84,0.00824509
85,0.00821855
86,0.00820013
87,0.00818348
88,0.00814862
89,0.00814099
90,0.00811907
91,0.00809962
92,0.00809939
93,0.00808962
94,0.00807009
95,0.00804789
96,0.00805059
97,0.00803064
98,0.00803743
99,0.00802424
