epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.933673,0.933921,0.82655,0.873267,0.858452,0.75,0.874739,0.859922,0.829569,0.811695
1,0.957143,0.963877,0.874031,0.864356,0.8778,0.835202,0.920668,0.884241,0.826489,0.87116
2,0.979592,0.964758,0.870155,0.869307,0.911405,0.815022,0.926931,0.884241,0.890144,0.874133
3,0.969388,0.968282,0.867248,0.89604,0.929735,0.855381,0.934238,0.894942,0.892197,0.866204
4,0.978571,0.973568,0.887597,0.906931,0.898167,0.845291,0.942589,0.893969,0.882957,0.909812
5,0.983673,0.98326,0.891473,0.905941,0.92057,0.865471,0.929019,0.901751,0.886037,0.897919
6,0.985714,0.98326,0.893411,0.916832,0.903259,0.859865,0.954071,0.913424,0.905544,0.910803
7,0.985714,0.982379,0.889535,0.908911,0.935845,0.913677,0.950939,0.930934,0.913758,0.883053
8,0.984694,0.980617,0.911822,0.924752,0.930754,0.899103,0.958246,0.90856,0.921971,0.921705
9,0.987755,0.98326,0.915698,0.939604,0.93279,0.90583,0.949896,0.922179,0.917865,0.922696
