epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.955919,0.995685,0.0444444,0.739659,0,0,0.555412,0.0879518,0,0.0071599
1,0.9534,0.992449,0.194152,0.746959,0.0532838,0,0.844072,0.795181,0.00249066,0.0942721
2,0.90932,0.989213,0.65614,0.773723,0.571252,0.0864865,0.886598,0.836145,0.0784558,0.177804
3,0.896725,0.978425,0.697076,0.805353,0.717472,0.248649,0.849227,0.851807,0.205479,0.306683
4,0.914358,0.968716,0.761404,0.739659,0.795539,0.431081,0.856959,0.840964,0.331258,0.343675
5,0.906801,0.966559,0.761404,0.754258,0.816605,0.544595,0.863402,0.833735,0.349938,0.420048
6,0.904282,0.969795,0.77193,0.772506,0.77943,0.5,0.875,0.824096,0.438356,0.51074
7,0.920655,0.968716,0.763743,0.739659,0.776952,0.6,0.887887,0.795181,0.459527,0.595465
8,0.90806,0.970874,0.77076,0.782238,0.807931,0.564865,0.902062,0.815663,0.521793,0.570406
9,0.90932,0.964401,0.796491,0.768856,0.83767,0.591892,0.882732,0.819277,0.575342,0.566826
